date,week,year,month,season,Di.gazel
11/23/1989,1,1,1,spr1,0
11/30/1989,2,1,1,spr1,0
12/7/1989,3,1,2,spr1,0
12/14/1989,4,1,2,spr1,0
12/21/1989,5,1,2,spr1,0
12/28/1989,6,1,2,sum1,0
1/4/1990,7,1,3,sum1,0
1/11/1990,8,1,3,sum1,0
1/18/1990,9,1,3,sum1,0
1/26/1990,10,1,3,sum1,0
2/1/1990,11,1,4,sum1,0
2/8/1990,12,1,4,sum1,0
2/15/1990,13,1,4,sum1,0
2/22/1990,14,1,4,sum1,0
3/1/1990,15,1,5,sum1,0
3/8/1990,16,1,5,sum1,0
3/15/1990,17,1,5,sum1,0
3/22/1990,18,1,5,aut1,0
3/29/1990,19,1,5,aut1,0
4/5/1990,20,1,6,aut1,0
4/12/1990,21,1,6,aut1,0
4/19/1990,22,1,6,aut1,0
4/26/1990,23,1,6,aut1,0
5/3/1990,24,1,7,aut1,0
5/10/1990,25,1,7,aut1,0
5/17/1990,26,1,7,aut1,0
5/24/1990,27,1,7,aut1,0
5/31/1990,28,1,7,aut1,0
6/7/1990,29,1,8,aut1,0
6/14/1990,30,1,8,aut1,0
6/21/1990,31,1,8,aut1,0
6/28/1990,32,1,8,win1,0
7/5/1990,33,1,9,win1,0
7/12/1990,34,1,9,win1,0
7/19/1990,35,1,9,win1,0
7/26/1990,36,1,9,win1,0
8/2/1990,37,1,10,win1,0
8/9/1990,38,1,10,win1,0
8/16/1990,39,1,10,win1,0
8/23/1990,40,1,10,win1,0
8/30/1990,41,1,10,win1,0
9/6/1990,42,1,11,win1,0
9/13/1990,43,1,11,win1,0
9/20/1990,44,1,11,win1,0
9/27/1990,45,1,11,spr2,0
10/4/1990,46,1,12,spr2,0
10/11/1990,47,1,12,spr2,0
10/18/1990,48,1,12,spr2,0
10/25/1990,49,1,12,spr2,0
11/1/1990,50,1,13,spr2,0
11/8/1990,51,1,13,spr2,0
11/15/1990,52,1,13,spr2,0
11/22/1990,53,2,13,spr2,0
11/29/1990,54,2,13,spr2,0
12/6/1990,55,2,14,spr2,0
12/13/1990,56,2,14,spr2,0
12/20/1990,57,2,14,spr2,0
12/27/1990,58,2,14,sum2,0
1/3/1991,59,2,15,sum2,0
1/10/1991,60,2,15,sum2,0
1/17/1991,61,2,15,sum2,0
1/24/1991,62,2,15,sum2,0
1/31/1991,63,2,15,sum2,0
2/7/1991,64,2,16,sum2,0
2/14/1991,65,2,16,sum2,0
2/21/1991,66,2,16,sum2,0
2/28/1991,67,2,16,sum2,0
3/7/1991,68,2,17,sum2,0
3/14/1991,69,2,17,sum2,0
3/21/1991,70,2,17,aut2,0
3/28/1991,71,2,17,aut2,0
4/4/1991,72,2,18,aut2,0
4/11/1991,73,2,18,aut2,0
4/18/1991,74,2,18,aut2,0
4/25/1991,75,2,18,aut2,0
5/2/1991,76,2,19,aut2,0
5/9/1991,77,2,19,aut2,0
5/16/1991,78,2,19,aut2,0
5/23/1991,79,2,19,aut2,0
5/30/1991,80,2,19,aut2,0
6/6/1991,81,2,20,aut2,0
6/13/1991,82,2,20,aut2,0
6/20/1991,83,2,20,aut2,0
6/27/1991,84,2,20,win2,0
7/4/1991,85,2,21,win2,0
7/11/1991,86,2,21,win2,0
7/18/1991,87,2,21,win2,0
7/25/1991,88,2,21,win2,0
8/1/1991,89,2,22,win2,0
8/8/1991,90,2,22,win2,0
8/15/1991,91,2,22,win2,0
8/22/1991,92,2,22,win2,0
